	polyline = false	
1	1000	0
1	999.753	0.036
1	999.013	0.143
1	997.781	0.322
1	996.057	0.572
1	993.844	0.891
1	991.144	1.28
1	987.958	1.737
1	984.292	2.26
1	980.147	2.849
1	975.528	3.501
1	970.44	4.216
1	964.888	4.99
1	958.877	5.822
1	952.414	6.71
1	945.503	7.651
1	938.153	8.643
1	930.371	9.684
1	922.164	10.77
1	913.54	11.9
1	904.508	13.071
1	895.078	14.28
1	885.257	15.523
1	875.056	16.8
1	864.484	18.106
1	853.553	19.438
1	842.274	20.795
1	830.656	22.173
1	818.712	23.569
1	806.454	24.981
1	793.893	26.405
1	781.042	27.838
1	767.913	29.279
1	754.521	30.723
1	740.877	32.168
1	726.995	33.61
1	712.89	35.048
1	698.574	36.478
1	684.062	37.896
1	669.369	39.3
1	654.508	40.686
1	639.496	42.052
1	624.345	43.394
1	609.072	44.708
1	593.691	45.992
1	578.217	47.242
1	562.667	48.455
1	547.054	49.626
1	531.395	50.754
1	515.705	51.833
1	500	52.862
1	484.295	53.835
1	468.605	54.749
1	452.946	55.602
1	437.333	56.39
1	421.783	57.108
1	406.309	57.755
1	390.928	58.326
1	375.655	58.819
1	360.504	59.23
1	345.492	59.557
1	330.631	59.797
1	315.938	59.947
1	301.426	60.006
1	287.11	59.971
1	273.005	59.841
1	259.123	59.614
1	245.479	59.288
1	232.087	58.863
1	218.958	58.338
1	206.107	57.712
1	193.546	56.986
1	181.288	56.159
1	169.344	55.232
1	157.726	54.206
1	146.447	53.083
1	135.516	51.862
1	124.944	50.546
1	114.743	49.138
1	104.922	47.638
1	95.492	46.049
1	86.46	44.374
1	77.836	42.615
1	69.629	40.776
1	61.847	38.859
1	54.497	36.867
1	47.586	34.803
1	41.123	32.671
1	35.112	30.473
1	29.56	28.213
1	24.472	25.893
1	19.853	23.517
1	15.708	21.088
1	12.042	18.607
1	8.856	16.078
1	6.156	13.503
1	3.943	10.884
1	2.219	8.223
1	0.987	5.521
1	0.247	2.779
1	0	0
1	0.247	-2.779
1	0.987	-5.521
1	2.219	-8.223
1	3.943	-10.884
1	6.156	-13.503
1	8.856	-16.078
1	12.042	-18.607
1	15.708	-21.088
1	19.853	-23.517
1	24.472	-25.893
1	29.56	-28.213
1	35.112	-30.473
1	41.123	-32.671
1	47.586	-34.803
1	54.497	-36.867
1	61.847	-38.859
1	69.629	-40.776
1	77.836	-42.615
1	86.46	-44.374
1	95.492	-46.049
1	104.922	-47.638
1	114.743	-49.138
1	124.944	-50.546
1	135.516	-51.862
1	146.447	-53.083
1	157.726	-54.206
1	169.344	-55.232
1	181.288	-56.159
1	193.546	-56.986
1	206.107	-57.712
1	218.958	-58.338
1	232.087	-58.863
1	245.479	-59.288
1	259.123	-59.614
1	273.005	-59.841
1	287.11	-59.971
1	301.426	-60.006
1	315.938	-59.947
1	330.631	-59.797
1	345.492	-59.557
1	360.504	-59.23
1	375.655	-58.819
1	390.928	-58.326
1	406.309	-57.755
1	421.783	-57.108
1	437.333	-56.39
1	452.946	-55.602
1	468.605	-54.749
1	484.295	-53.835
1	500	-52.862
1	515.705	-51.833
1	531.395	-50.754
1	547.054	-49.626
1	562.667	-48.455
1	578.217	-47.242
1	593.691	-45.992
1	609.072	-44.708
1	624.345	-43.394
1	639.496	-42.052
1	654.508	-40.686
1	669.369	-39.3
1	684.062	-37.896
1	698.574	-36.478
1	712.89	-35.048
1	726.995	-33.61
1	740.877	-32.168
1	754.521	-30.723
1	767.913	-29.279
1	781.042	-27.838
1	793.893	-26.405
1	806.454	-24.981
1	818.712	-23.569
1	830.656	-22.173
1	842.274	-20.795
1	853.553	-19.438
1	864.484	-18.106
1	875.056	-16.8
1	885.257	-15.523
1	895.078	-14.28
1	904.508	-13.071
1	913.54	-11.9
1	922.164	-10.77
1	930.371	-9.684
1	938.153	-8.643
1	945.503	-7.651
1	952.414	-6.71
1	958.877	-5.822
1	964.888	-4.99
1	970.44	-4.216
1	975.528	-3.501
1	980.147	-2.849
1	984.292	-2.26
1	987.958	-1.737
1	991.144	-1.28
1	993.844	-0.891
1	996.057	-0.572
1	997.781	-0.322
1	999.013	-0.143
1	999.753	-0.036
1	1000	0
