	polyline=false	
1	1000	0
1	998.488	0.427
1	993.961	1.7
1	986.442	3.794
1	975.972	6.669
1	962.609	10.271
1	946.424	14.531
1	927.507	19.373
1	905.965	24.709
1	881.917	30.445
1	855.503	36.484
1	826.873	42.724
1	796.195	49.065
1	763.65	55.404
1	729.431	61.641
1	693.744	67.68
1	656.806	73.424
1	618.842	78.785
1	580.087	83.676
1	540.782	88.018
1	501.174	91.737
1	461.516	94.768
1	422.059	97.055
1	382.788	98.51
1	343.869	98.792
1	305.921	97.84
1	269.213	95.689
1	234.002	92.396
1	200.539	88.044
1	169.056	82.734
1	139.77	76.589
1	112.88	69.743
1	88.56	62.343
1	66.964	54.54
1	48.221	46.485
1	32.437	38.325
1	19.693	30.193
1	10.051	22.209
1	3.547	14.471
1	0.198	7.052
1	0	0
1	2.885	-6.437
1	8.765	-12.027
1	17.579	-16.779
1	29.25	-20.704
1	43.684	-23.825
1	60.773	-26.172
1	80.396	-27.782
1	102.423	-28.706
1	126.714	-29
1	153.123	-28.733
1	181.496	-27.985
1	211.676	-26.841
1	243.499	-25.397
1	276.797	-23.753
1	311.395	-22.012
1	347.114	-20.277
1	383.767	-18.65
1	421.506	-17.16
1	460.025	-15.589
1	498.826	-13.96
1	537.677	-12.326
1	576.348	-10.734
1	614.603	-9.222
1	652.211	-7.818
1	688.939	-6.542
1	724.559	-5.403
1	758.849	-4.404
1	791.59	-3.543
1	822.575	-2.811
1	851.604	-2.197
1	878.488	-1.688
1	903.052	-1.271
1	925.133	-0.931
1	944.583	-0.659
1	961.271	-0.443
1	975.084	-0.277
1	985.928	-0.153
1	993.728	-0.067
1	998.429	-0.017
1	1000	0
